"unique_id";"rank_by_rating";"name";"price";"old_price";"discount_percentage";"ratings";"no_of_ratings";"free_delivery"
1;25;"(Renewed) boAt Rockerz 255 Pro+ in-Ear Earphones with 40 Hours Battery, ASAP Charge, IPX7, Bluetooth Version 5.0, 10mm Drivers and Voice Assistant(Navy Blue)";1299.0;1499.0;"13%";3.8;168.0;"yes"
2;26;"boAt Airdopes 131 Bluetooth Truly Wireless in Ear Earbuds with Mic (Midnight Blue)";1490.0;2990.0;"50%";3.6;256.0;"yes"
3;21;"boAt Airdopes 181 True Wireless Earbuds with ENxâ„¢ Tech, Beastâ„¢ Mode(Low Latency Upto 60ms) for Gaming, ASAPâ„¢ Charge, 20H Playtime, Bluetooth v5.2, boAt Signature Sound, IPX4 & IWPâ„¢(Carbon Black)";1799.0;2990.0;"40%";3.9;832.0;"yes"
4;24;"boAt 102 Bluetooth Wireless in Ear Earphones with Mic (Black)";1099.0;1990.0;"45%";3.8;3458.0;"yes"
5;23;"boAt Airdopes 621 Bluetooth Truly Wireless in Ear Earbuds with Mic (White Frost)";2799.0;2990.0;"6%";3.8;10030.0;"yes"
6;15;"boAt Rockerz 370 Bluetooth Wireless On Ear Headphone with Mic (Buoyant Black)";999.0;2499.0;"60%";4.1;20448.0;"yes"
7;18;"boAt Rockerz 261 in Ear Wireless Earphones with mic(Jazzy Blue)";999.0;4990.0;"80%";4.0;21257.0;"yes"
8;14;"boAt Bassheads 162 in Ear Wired Earphones with Mic(Jazzy Blue)";399.0;1290.0;"69%";4.1;29910.0;"no"
9;20;"boAt Airdopes 171 Bluetooth Truly Wireless in Ear Earbuds with Mic (Active Black)";1699.0;5999.0;"72%";3.9;38400.0;"yes"
10;6;"boAt Rockerz 550 Bluetooth Wireless Over Ear Headphone with Mic (Black)";1899.0;4999.0;"62%";4.2;38623.0;"yes"
11;17;"boAt Rockerz 245v2 Bluetooth Wireless in Ear Earphones with Mic Ocean Blue";899.0;2490.0;"64%";4.0;51268.0;"yes"
12;5;"boAt Bassheads 102 in Ear Wired Earphones with Mic (Mint Green)";349.0;1290.0;"73%";4.2;60231.0;"no"
13;4;"boAt Rockerz 510 Wireless Bluetooth On Ear Headphones with Mic (Raging Red)";1499.0;3990.0;"62%";4.2;60393.0;"yes"
14;13;"boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with Mic Blazing Yellow";1399.0;3990.0;"65%";4.1;60646.0;"yes"
15;3;"boAt Bassheads 152 in Ear Wired Earphones with Mic(Active Black)";449.0;1290.0;"65%";4.2;72547.0;"no"
16;12;"boAt Rockerz 450 Pro Bluetooth Wireless On Ear Headphones with Mic (Luscious Black)";1499.0;3990.0;"62%";4.1;72593.0;"yes"
17;2;"boAt Bassheads 900 Wired On Ear Headphones with Mic (Pearl White)";699.0;2490.0;"72%";4.2;74928.0;"yes"
18;19;"boAt Airdopes 121v2 True Wireless Earbuds with Upto 14 Hours Playback, Lightweight Earbuds, 8MM Drivers, LED Indicators and Multifunction Controls(Cherry Blossom)";1299.0;2990.0;"57%";3.9;104438.0;"yes"
19;11;"boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black)";499.0;1490.0;"67%";4.1;119763.0;"no"
20;16;"boAt Airdopes 441 Bluetooth Truly Wireless in Ear Earbuds with Mic (Active Black)";1999.0;5999.0;"67%";4.0;126014.0;"yes"
21;10;"boAt Bassheads 225 in Ear Wired Earphones with Mic(Red)";499.0;999.0;"50%";4.1;227620.0;"no"
22;9;"boAt Bassheads 100 in Ear Wired Earphones with mic(Mint Purple)";399.0;999.0;"60%";4.1;302505.0;"no"
23;8;"boAt Rockerz 255 in-Ear Earphones with 8 Hours Battery, IPX5, Bluetooth V5.0 and Voice Assistant(Ocean Blue)";1199.0;2990.0;"60%";4.1;459652.0;"yes"
24;27;"boAt NIRVANAA 1007ANC Wireless Bluetooth Over The Ear Headphone with Mic (Midnight Blue)";14398.0;19990.0;"28%";3.3;123.0;"yes"
25;29;"(Renewed) Boat NIRVANAA 1007ANC Active Noise Cancelling Headphones with SmartWave Technology, Up to 30H Playback,Ambient Sound Mode,Smart Mute,Type C Interface,Carry Case,One Click Battery Level (Midnight Blue)";6999.0;14398.0;"51%";2.7;2.0;"yes"
26;22;"boAt NIRVANAA 751ANC Hybrid Active Noise Cancelling Over-Ear Headphones with Up to 65H Playtime, ASAP™ Charge, Ambient Sound Mode, Immersive Sound, Dual Compatibility, Carry Pouch(Bold Blue)";3999.0;7990.0;"50%";3.9;114.0;"yes"
27;28;"boAt Airdopes 501 ANC Truly Wireless Bluetooth in Ear Earbuds with Mic (Black)";3990.0;9990.0;"60%";3.2;422.0;"yes"
28;7;"boAt Rockerz 600 Mumbai Indians Edition Bluetooth Headphone with Luxurious Sound, Plush Earcushions, Foldable Ergonomic Design and Up to 8H Playtime (Blue)";3886.0;4990.0;"22%";4.2;129.0;"yes"
29;22;"boAt NIRVANAA 751ANC Hybrid Active Noise Cancelling Over-Ear Headphones with Up to 65H Playtime, ASAP™ Charge, Ambient Sound Mode, Immersive Sound, Dual Compatibility, Carry Pouch(Gunmetal Grey)";3499.0;7990.0;"56%";3.9;114.0;"yes"
30;1;"boAt Immortal IM-700 7.1 Channel PC USB Gaming Over-Ear Headphones with 50mm Drivers, Virtual Surround Sound, ENx™ Tech, RGB LEDs, Remote Control, Braided Cable(Black Sabre)";2999.0;6990.0;"57%";4.6;23.0;"yes"
